antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'math_cat_υψηλό', 'gender_female'})","frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό', 'lunch_standard'})",0.068,0.144,0.059,0.8676470588235293,6.02532679738562,1.0,0.049207999999999995,6.467555555555551,0.8948861569797046,0.3856209150326797,0.8453820780648708,0.6386846405228758
"frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'gender_female'})",0.144,0.068,0.059,0.4097222222222222,6.02532679738562,1.0,0.049207999999999995,1.5789176470588233,0.9743386662442579,0.3856209150326797,0.366654744873629,0.6386846405228758
"frozenset({'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό'})",0.162,0.066,0.059,0.3641975308641975,5.518144407033295,1.0,0.048308,1.469009708737864,0.9770640346264311,0.3491124260355029,0.3192693049937875,0.6290684624017957
"frozenset({'math_cat_υψηλό', 'gender_female', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'lunch_standard'})",0.066,0.162,0.059,0.8939393939393938,5.518144407033295,1.0,0.048308,7.9011428571428475,0.8766377526948064,0.3491124260355029,0.8734360309539305,0.6290684624017957
"frozenset({'writing_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'gender_female'})",0.162,0.068,0.059,0.3641975308641975,5.355846042120551,1.0,0.047984,1.4658640776699028,0.9705109016625543,0.34502923976608185,0.31780850951094153,0.6159222948438634
"frozenset({'math_cat_υψηλό', 'gender_female'})","frozenset({'writing_cat_υψηλό', 'lunch_standard'})",0.068,0.162,0.059,0.8676470588235293,5.355846042120551,1.0,0.047984,6.331555555555552,0.8726267549283481,0.34502923976608185,0.8420609293836866,0.6159222948438634
frozenset({'math_cat_υψηλό'}),"frozenset({'gender_male', 'reading_cat_υψηλό', 'lunch_standard'})",0.176,0.062,0.058,0.3295454545454546,5.315249266862171,1.0,0.047088000000000005,1.399050847457627,0.9852695011717442,0.32222222222222224,0.28522969567745693,0.6325146627565983
"frozenset({'gender_male', 'reading_cat_υψηλό', 'lunch_standard'})",frozenset({'math_cat_υψηλό'}),0.062,0.176,0.058,0.935483870967742,5.315249266862171,1.0,0.047088000000000005,12.772000000000013,0.8655245937798692,0.32222222222222224,0.9217037269025995,0.6325146627565983
"frozenset({'math_cat_υψηλό', 'gender_female'})","frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό'})",0.068,0.185,0.065,0.9558823529411764,5.166931637519872,1.0,0.05242,18.473333333333304,0.8653020798943547,0.34574468085106386,0.9458679177192348,0.6536168521462639
"frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό'})","frozenset({'math_cat_υψηλό', 'gender_female'})",0.185,0.068,0.065,0.35135135135135137,5.166931637519872,1.0,0.05242,1.4368333333333332,0.9895233600755073,0.34574468085106386,0.30402505509801653,0.6536168521462639
"frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})","frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό'})",0.062,0.185,0.059,0.9516129032258064,5.143853530950305,1.0,0.047529999999999996,16.84333333333331,0.8588413862888945,0.31382978723404253,0.940629329111419,0.6352659110723626
"frozenset({'writing_cat_υψηλό', 'reading_cat_υψηλό'})","frozenset({'math_cat_υψηλό', 'gender_female', 'lunch_standard'})",0.185,0.062,0.059,0.3189189189189189,5.143853530950304,1.0,0.047529999999999996,1.3772222222222221,0.9884579390662369,0.31382978723404253,0.27390076643807987,0.6352659110723626
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female'})","frozenset({'reading_cat_υψηλό', 'lunch_standard'})",0.065,0.182,0.059,0.9076923076923076,4.987320371935756,1.0,0.04717,8.861666666666656,0.8550711501858062,0.31382978723404253,0.8871544103817941,0.6159340659340659
"frozenset({'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό', 'gender_female'})",0.182,0.065,0.059,0.3241758241758242,4.987320371935756,1.0,0.04717,1.3834959349593496,0.9773735029629936,0.31382978723404253,0.2771933948404537,0.6159340659340659
"frozenset({'gender_male', 'reading_cat_υψηλό'})","frozenset({'math_cat_υψηλό', 'lunch_standard'})",0.076,0.156,0.058,0.7631578947368421,4.892037786774629,1.0,0.046144000000000004,3.5635555555555563,0.8610240334378265,0.33333333333333337,0.7193813918682964,0.5674763832658569
"frozenset({'math_cat_υψηλό', 'lunch_standard'})","frozenset({'gender_male', 'reading_cat_υψηλό'})",0.156,0.076,0.058,0.3717948717948718,4.892037786774629,1.0,0.046144000000000004,1.4708571428571429,0.9426376858963883,0.33333333333333337,0.3201243201243201,0.5674763832658569
frozenset({'math_cat_υψηλό'}),"frozenset({'gender_male', 'reading_cat_υψηλό'})",0.176,0.076,0.065,0.3693181818181819,4.859449760765552,1.0,0.051624,1.4650810810810813,0.9638536221060493,0.34759358288770054,0.31744391971664704,0.6122906698564594
"frozenset({'gender_male', 'reading_cat_υψηλό'})",frozenset({'math_cat_υψηλό'}),0.076,0.176,0.065,0.855263157894737,4.859449760765551,1.0,0.051624,5.693090909090913,0.8595404595404595,0.34759358288770054,0.8243484925907002,0.6122906698564594
"frozenset({'writing_cat_υψηλό', 'test preparation course_none'})","frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})",0.091,0.12,0.053,0.5824175824175825,4.853479853479854,1.0,0.04208,2.107368421052632,0.8734458351495528,0.33544303797468356,0.5254745254745256,0.5120421245421245
"frozenset({'gender_female', 'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'writing_cat_υψηλό', 'test preparation course_none'})",0.12,0.091,0.053,0.44166666666666665,4.853479853479853,1.0,0.04208,1.6280597014925373,0.902229845626072,0.33544303797468356,0.38577191052438575,0.5120421245421245
"frozenset({'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'gender_female'})",0.182,0.068,0.06,0.32967032967032966,4.848093083387201,1.0,0.047624,1.3903606557377046,0.9703341483292584,0.3157894736842105,0.280762156298637,0.6060116354234001
"frozenset({'math_cat_υψηλό', 'gender_female'})","frozenset({'reading_cat_υψηλό', 'lunch_standard'})",0.068,0.182,0.06,0.8823529411764705,4.848093083387201,1.0,0.047624,6.952999999999992,0.8516452074391989,0.3157894736842105,0.8561771897022865,0.6060116354234001
"frozenset({'test preparation course_completed', 'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.096,0.114,0.053,0.5520833333333333,4.842836257309941,1.0,0.042055999999999996,1.9780465116279067,0.8777759225246283,0.33757961783439483,0.49445071482317526,0.5084978070175438
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})","frozenset({'test preparation course_completed', 'reading_cat_υψηλό', 'lunch_standard'})",0.114,0.096,0.053,0.46491228070175433,4.842836257309941,1.0,0.042055999999999996,1.6894426229508195,0.8956088419438647,0.33757961783439483,0.4080888060860114,0.5084978070175438
"frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})","frozenset({'reading_cat_υψηλό', 'lunch_standard'})",0.114,0.182,0.099,0.868421052631579,4.771544245228456,1.0,0.078252,6.216800000000002,0.8921266844517409,0.5025380710659899,0.8391455411143998,0.7061885482938115
"frozenset({'reading_cat_υψηλό', 'lunch_standard'})","frozenset({'math_cat_υψηλό', 'writing_cat_υψηλό'})",0.182,0.114,0.099,0.543956043956044,4.771544245228456,1.0,0.078252,1.9427951807228918,0.9662888049196117,0.5025380710659899,0.485277701981991,0.7061885482938115
"frozenset({'writing_cat_υψηλό', 'math_cat_μέτριο'})","frozenset({'gender_female', 'reading_cat_υψηλό'})",0.094,0.159,0.071,0.7553191489361701,4.7504348989696235,1.0,0.05605399999999999,3.4371304347826075,0.8714050306252525,0.3901098901098901,0.7090596301262427,0.6009300147196573
"frozenset({'gender_female', 'reading_cat_υψηλό'})","frozenset({'writing_cat_υψηλό', 'math_cat_μέτριο'})",0.159,0.094,0.071,0.4465408805031446,4.7504348989696235,1.0,0.05605399999999999,1.6369772727272724,0.9387550032657299,0.3901098901098901,0.38911796965026996,0.6009300147196573
